32689|19576
46731|46967
31040|41743
28106|38917
34096|42075
47204|47551
36720|22043
5098|6378
42296|22850
1034|37882
21304|13550
19217|31674
27208|37427
38498|46208
4708|6880
16166|29511
15274|2243
27183|18394
27932|10138
14277|23609
46144|16954
46780|10235
8246|13821
36881|8379
11021|6573
37602|31779
43224|13343
47308|2752
5397|39030
47435|19542
29999|39822
7654|367
41612|23697
27449|39664
135|9720
27948|31698
15794|32715
33872|43512
44985|43815
29556|21459
46538|27143
26186|12996
31787|46388
13542|36555
33283|28739
32325|44390
39194|8306
38891|46392
40377|40341
48419|29833
48809|13594
23294|8201
23849|7260
41025|29082
48252|19835
7887|23414
43960|29434
22832|33469
17346|33890
37435|12122
39400|31139
17242|22508
24210|1871
31804|16799
13577|6319
24987|38396
15044|10184
45544|34892
8677|3847
21090|18622
1632|34380
40975|46406
1870|37053
35452|22774
47190|23265
31896|35520
25117|12804
42013|10590
494|26622
1430|218
43052|26143
34494|29534
14325|2234
43971|13185
35126|37389
11414|49476
2204|37228
46412|12710
23955|45981
14687|17014
46003|45341
46729|39544
34356|38396
14613|3507
33717|35226
30091|48024
7310|26750
21810|21488
1837|29400
48306|38973
23654|41565
17656|38817
10448|36077
48926|9490
24539|4531
28519|455
38939|47100
32938|45457
42271|34519
23791|44049
39118|25994
4294|39481
8316|1548
49455|26624
35366|36931
32197|32605
38997|19629
6064|19733
7137|38232
25013|9556
18957|15473
830|1508
1591|30574
27254|19715
39686|10726
37483|16357
8457|49247
46558|27413
27220|23469
13134|23510
44667|19193
18083|3920
34679|4306
30892|34997
25760|27625
37377|27348
17119|33246
21944|31771
24138|12834
35449|22819
21929|49612
1245|7656
9287|15075
46879|10472
21688|42466
16726|36584
41450|47060
49458|32580
44518|25589
36657|14870
29397|24883
2229|23988
31399|27545
15766|10305
37658|2794
44003|24844
31708|12398
47649|37276
4096|25884
17847|2780
44456|38658
19799|29889
44833|23116
19994|27343
7504|28110
25927|24029
6317|42762
8057|37948
19137|47266
28111|934
38945|30079
46322|24845
9109|22039
31229|32893
5550|6010
35770|31143
19506|46854
3772|36792
32512|7522
5654|24283
46558|13088
27590|19166
16029|2032
26565|30495
34974|779
13177|23888
16435|6162
47952|34848
38220|39152
39655|15111
47634|29293
1912|25847
2144|42194
35560|12140
18311|24672
13482|23434
7103|38776
7203|43467
32433|12683
6948|32249
11182|11643
36148|41358
37149|24038
13633|911
20129|28870
30610|25311
49537|4505
44215|21577
10279|14343
38856|28722
18364|20505
1623|47383
45598|47527
13005|39734
18801|16119
23225|42085
37343|44345
21866|24718
42465|20041
